transaction_id,timestamp,is_abuse_ring,amount,product_category,is_promo_used,hour_of_day,day_of_week,is_weekend,billing_shipping_match,account_age_days,email_domain,user_tx_count_1h,user_tx_count_24h,user_tx_count_7d,user_historical_tx_count,user_historical_mean_amount,user_historical_std_amount,amount_to_user_mean_ratio,user_promo_rate,user_unique_device_count,user_unique_ip_count,user_unique_payment_count,user_unique_address_count,device_prior_user_count,ip_prior_user_count,payment_prior_user_count,shipping_address_prior_user_count,billing_address_prior_user_count,max_shared_entity_user_count,number_of_prior_connected_users,shared_entity_types_count,connected_component_user_count,connected_component_total_nodes,connected_component_edge_count,connected_component_density
tx_0008168,2026-01-01 00:56:55,0,21.93,groceries,1,0,3,0,1,173.7133,outlook.com,0,0,0,0,21.93,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0
tx_0000750,2026-01-01 01:32:07,0,70.31,apparel,0,1,3,0,0,5.5026,gmail.com,0,0,0,0,70.31,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0
tx_0016979,2026-01-01 01:49:18,0,29.34,apparel,0,1,3,0,1,93.079,gmail.com,0,0,0,0,29.34,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0
tx_0002049,2026-01-01 02:21:35,0,34.14,apparel,0,2,3,0,1,59.0933,gmail.com,0,0,0,0,34.14,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0
tx_0001996,2026-01-01 04:22:20,0,30.86,electronics,0,4,3,0,1,24.0811,gmail.com,0,0,0,0,30.86,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0
tx_0017715,2026-01-01 04:30:59,0,62.46,groceries,0,4,3,0,1,156.2838,gmail.com,0,0,0,0,62.46,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0
tx_0014886,2026-01-01 05:21:50,0,15.52,groceries,0,5,3,0,1,0.1677,gmail.com,0,0,0,0,15.52,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0
tx_0001342,2026-01-01 06:03:34,0,98.58,apparel,0,6,3,0,1,29.5237,gmail.com,0,0,0,0,98.58,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0
tx_0001747,2026-01-01 06:04:32,0,22.61,apparel,0,6,3,0,0,135.556,gmail.com,0,0,0,0,22.61,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0
tx_0010170,2026-01-01 06:12:33,0,12.61,groceries,0,6,3,0,1,84.2386,yahoo.com,0,0,0,0,12.61,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0
