transaction_id,timestamp,user_id,amount,currency,device_id,ip_address,payment_instrument_id,shipping_address_id,billing_address_id,product_category,is_promo_used,order_status,is_abuse_ring,ring_id,ring_type,user_population_type
tx_0008168,2026-01-01 00:56:55,usr_01343,21.93,INR,dev_001495,100.6.158.195,pmt_001531,addr_001455,addr_001455,groceries,1,refunded,0,,NONE,BENIGN_ISOLATED
tx_0000750,2026-01-01 01:32:07,usr_00115,70.31,INR,dev_000124,100.0.151.152,pmt_000128,addr_000125,addr_000126,apparel,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0016979,2026-01-01 01:49:18,usr_02823,29.34,INR,dev_003117,100.13.236.65,pmt_003229,addr_003069,addr_003069,apparel,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0002049,2026-01-01 02:21:35,usr_00344,34.14,INR,dev_000377,100.1.173.180,pmt_000394,addr_000376,addr_000376,apparel,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0001996,2026-01-01 04:22:20,usr_00333,30.86,INR,dev_000363,100.1.157.164,pmt_000381,addr_000365,addr_000365,electronics,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0017715,2026-01-01 04:30:59,usr_02945,62.46,INR,dev_003250,100.14.122.207,pmt_003367,addr_003197,addr_003197,groceries,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0014886,2026-01-01 05:21:50,usr_02463,15.52,INR,dev_002724,100.12.30.103,pmt_002822,addr_002678,addr_002678,groceries,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0001342,2026-01-01 06:03:34,usr_00222,98.58,INR,dev_000238,100.1.29.36,pmt_000251,addr_000243,addr_000243,apparel,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0001747,2026-01-01 06:04:32,usr_00291,22.61,INR,dev_000317,100.1.107.114,pmt_000332,addr_000318,addr_000319,apparel,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0010170,2026-01-01 06:12:33,usr_01674,12.61,INR,dev_001859,100.8.66.115,pmt_001906,addr_001811,addr_001811,groceries,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0016765,2026-01-01 06:14:46,usr_02783,16.81,INR,dev_003076,100.13.184.13,pmt_003182,addr_003022,addr_003022,apparel,1,completed,0,,NONE,BENIGN_ISOLATED
tx_0023362,2026-01-01 06:40:30,usr_03913,26.05,INR,dev_004308,100.18.232.91,pmt_004457,addr_004174,addr_004174,groceries,0,completed,0,,SHARED_IP_OFFICE,BENIGN_SHARED
tx_0013143,2026-01-01 06:49:35,usr_02172,142.19,INR,dev_002400,100.10.171.232,pmt_002485,addr_002354,addr_002354,electronics,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0018506,2026-01-01 07:04:58,usr_03077,87.15,INR,dev_003396,100.15.34.125,pmt_003519,addr_003339,addr_003339,apparel,1,completed,0,,NONE,BENIGN_ISOLATED
tx_0005510,2026-01-01 07:40:29,usr_00910,19.79,INR,dev_001008,100.4.117.142,pmt_001033,addr_000979,addr_000979,apparel,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0006153,2026-01-01 07:44:15,usr_01010,52.18,INR,dev_001123,100.4.242.17,pmt_001151,addr_001089,addr_001089,gift_cards,1,completed,0,,NONE,BENIGN_ISOLATED
tx_0012856,2026-01-01 07:52:34,usr_02128,9.43,INR,dev_002351,100.10.114.175,pmt_002433,addr_002305,addr_002305,electronics,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0001981,2026-01-01 08:07:02,usr_00331,77.16,INR,dev_000361,100.1.155.162,pmt_000379,addr_000363,addr_000363,groceries,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0016965,2026-01-01 08:10:57,usr_02821,90.75,INR,dev_003115,100.13.234.63,pmt_003227,addr_003067,addr_003067,electronics,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0023295,2026-01-01 08:24:47,usr_03900,13.23,INR,dev_004294,100.18.222.81,pmt_004444,addr_004164,addr_004164,groceries,0,completed,0,,SHARED_IP_OFFICE,BENIGN_SHARED
tx_0025151,2026-01-01 08:31:15,usr_04319,31.2,INR,dev_004728,100.20.23.144,pmt_004825,addr_004468,addr_004468,apparel,0,completed,0,,HOUSEHOLD,BENIGN_SHARED
tx_0023226,2026-01-01 08:39:25,usr_03882,23.59,INR,dev_004276,100.18.218.77,pmt_004428,addr_004148,addr_004148,digital_goods,1,completed,0,,SHARED_IP_OFFICE,BENIGN_SHARED
tx_0011758,2026-01-01 08:49:29,usr_01935,170.4,INR,dev_002143,100.9.126.181,pmt_002205,addr_002098,addr_002099,electronics,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0010718,2026-01-01 08:52:06,usr_01759,32.99,INR,dev_001954,100.8.165.214,pmt_002005,addr_001907,addr_001907,electronics,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0022089,2026-01-01 08:53:54,usr_03663,27.64,INR,dev_004041,100.17.249.102,pmt_004199,addr_003971,addr_003971,groceries,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0019005,2026-01-01 08:59:55,usr_03155,52.77,INR,dev_003482,100.15.133.224,pmt_003607,addr_003425,addr_003425,apparel,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0024485,2026-01-01 09:00:22,usr_04168,30.87,INR,dev_004574,100.19.188.53,pmt_004685,addr_004351,addr_004351,digital_goods,1,completed,0,,SHARED_IP_OFFICE,BENIGN_SHARED
tx_0002936,2026-01-01 09:05:47,usr_00487,47.64,INR,dev_000539,100.2.87.100,pmt_000549,addr_000527,addr_000528,groceries,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0007852,2026-01-01 09:06:04,usr_01291,16.01,INR,dev_001439,100.6.93.130,pmt_001475,addr_001401,addr_001401,electronics,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0005710,2026-01-01 09:14:10,usr_00938,37.03,INR,dev_001042,100.4.152.177,pmt_001063,addr_001011,addr_001012,apparel,0,completed,0,,NONE,BENIGN_ISOLATED
tx_0001290,2026-01-01 09:14:52,usr_00213,26.3,INR,dev_000228,100.1.19.26,pmt_000242,addr_000234,addr_000234,groceries,0,completed,0,,NONE,BENIGN_ISOLATED
